id,name,bn_name,established_year,enroll,bn_name,organization_type,lat,lon,website
1,Dhaka Medical College,ঢাকা মেডিকেল কলেজ,1946,230,ঢাকা,GOVERNMENT,,,http://dmc.edu.bd
2,Sir Salimullah Medical College,স্যার সালিমুল্লাহ মেডিকেল কলেজ,1875,230,ঢাকা,GOVERNMENT,,,https://ssmcmh.gov.bd/
3,Shaheed Suhrawardy Medical College,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ,2006,200,ঢাকা,GOVERNMENT,,,
4,Mymensingh Medical College,ময়মনসিংহ মেডিকেল কলেজ,1924,230,ময়মনসিংহ,GOVERNMENT,,,
5,Chattogram Medical College,চট্টগ্রাম মেডিকেল কলেজ,1927,230,চট্টগ্রাম,GOVERNMENT,,,
6,Rajshahi Medical College,রাজশাহী মেডিকেল কলেজ,1954,230,রাজশাহী,GOVERNMENT,,,
7,Sylhet MAG Osmani Medical College,সিলেট মগ ওসমানী মেডিকেল কলেজ,1936,230,মৌলভীবাজার,GOVERNMENT,,,
8,Sher-e-Bangla Medical College,শেরে-বাংলা মেডিকেল কলেজ,1964,230,ভোলা,GOVERNMENT,,,
9,Rangpur Medical College,রংপুর মেডিকেল কলেজ,1970,230,রংপুর,GOVERNMENT,,,
10,Cumilla Medical College,কুমিল্লা মেডিকেল কলেজ,1979,180,কুমিল্লা,GOVERNMENT,,,
11,Khulna Medical College,খুলনা মেডিকেল কলেজ,1992,180,খুলনা,GOVERNMENT,,,
12,Shaheed Ziaur Rahman Medical College,শহীদ জিয়াউর রহমান মেডিকেল কলেজ,1992,180,বগুড়া,GOVERNMENT,,,
13,Bangabandhu Sheikh Mujib Medical College,বঙ্গবন্ধু শেখ মুজিব মেডিকেল কলেজ,1992,180,ফরিদপুর,GOVERNMENT,,,
14,M Abdur Rahim Medical College,এম আব্দুর রহিম মেডিকেল কলেজ,1992,180,দিনাজপুর,GOVERNMENT,,,
15,Pabna Medical College,পাবনা মেডিকেল কলেজ,2008,70,পাবনা,GOVERNMENT,,,
16,Abdul Malek Ukil Medical College,আব্দুল মালেক উকিল মেডিকেল কলেজ,2008,70,নোয়াখালী,GOVERNMENT,,,
17,Cox's Bazar Medical College,কক্সবাজার মেডিকেল কলেজ,2008,70,কক্সবাজার,GOVERNMENT,,,
18,Jashore Medical College,যশোর মেডিকেল কলেজ,2010,70,যশোর,GOVERNMENT,,,
19,Satkhira Medical College,সাতখীরা মেডিকেল কলেজ,2011,65,সাতক্ষীরা,GOVERNMENT,,,
20,Shahid Syed Nazrul Islam Medical College,শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ,2011,65,কিশোরগঞ্জ,GOVERNMENT,,,
21,Kushtia Medical College,কুষ্টিয়া মেডিকেল কলেজ,2011,65,কুষ্টিয়া,GOVERNMENT,,,
22,Sheikh Sayera Khatun Medical College,শেখ সায়েরা খাতুন মেডিকেল কলেজ,2011,65,গোপালগঞ্জ,GOVERNMENT,,,
23,Shaheed Tajuddin Ahmad Medical College,শহীদ তাজউদ্দিন আহমদ মেডিকেল কলেজ,2013,72,গাজীপুর,GOVERNMENT,,,
24,Sheikh Hasina Medical College,শেখ হাসিনা মেডিকেল কলেজ,2014,65,টাঙ্গাইল,GOVERNMENT,,,
25,Sheikh Hasina Medical College,শেখ হাসিনা মেডিকেল কলেজ,2014,65,জামালপুর,GOVERNMENT,,,
26,Colonel Malek Medical College,কর্নেল মালেক মেডিকেল কলেজ,2014,75,মানিকগঞ্জ,GOVERNMENT,,,
27,Shaheed M. Monsur Ali Medical College,শহীদ এম মনসুর আলী মেডিকেল কলেজ,2014,65,সিরাজগঞ্জ,GOVERNMENT,,,
28,Patuakhali Medical College,পটুয়াখালী মেডিকেল কলেজ,2014,51,পটুয়াখালী,GOVERNMENT,,,
29,Rangamati Medical College,রাঙ্গামাটি মেডিকেল কলেজ,2014,51,পিরোজপুর,GOVERNMENT,,,
30,Mugda Medical College,মুগদা মেডিকেল কলেজ,2015,75,ঢাকা,GOVERNMENT,,,
31,"Sheikh Hasina Medical College, Habiganj","শেখ হাসিনা মেডিকেল কলেজ, হবিগঞ্জ",2018,51,হবিগঞ্জ,GOVERNMENT,,,
32,"Netrokona Medical College, Netrokona","নেত্রকোণা মেডিকেল কলেজ, নেত্রকোণা",2018,50,নেত্রকোণা,GOVERNMENT,,,
33,Nilphamari Medical College,নীলফামারী মেডিকেল কলেজ,2018,50,নীলফামারী,GOVERNMENT,,,
34,Magura Medical College,মাগুরা মেডিকেল কলেজ,2018,50,মাগুরা,GOVERNMENT,,,
35,Naogaon Medical College,নওগাঁ মেডিকেল কলেজ,2018,50,নওগাঁ,GOVERNMENT,,,
36,Chandpur Medical College,চাঁদপুর মেডিকেল কলেজ,2018,50,চাঁদপুর,GOVERNMENT,,,
37,Bangabandhu Medical College,বঙ্গবন্ধু মেডিকেল কলেজ,2020,50,সুনামগঞ্জ,GOVERNMENT,,,
38,Armed Forces Medical College,সশস্ত্র বাহিনী মেডিকেল কলেজ,1999,125,ঢাকা,MILITARY,,,
39,Army Medical College Bogra,"আর্মি মেডিকেল কলেজ, বগুড়া",2014,50,মুন্সিগঞ্জ,MILITARY,,,
